id,Title,Date,Creator,Description,Provider,Thumbnail,URL
529537e3edb2513f3cec4c3826017609,"Completed Reconstruction of Monongahela River Dam 1",,"United States. Army. Corps of Engineers. Pittsburgh District","A view of Monongahela River Dam 1 after its reconstruction was finished. The South Side neighborhood can be seen in the distance.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/529537e3edb2513f3cec4c3826017609,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0035
646b1fd60deb4bf0495e7851f38b8e6c,"Union and Point Bridges during the Flood of 1907",,,"This photograph featuring the Union Bridge (left) and Point Bridge (right) illustrates just how high the flood waters were during the Flood of 1907. On March 16, 1907, heavy rains and melting snow bro…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/646b1fd60deb4bf0495e7851f38b8e6c,http://historicpittsburgh.org/islandora/object/pitt%3AMSP285.B013.F20.I03
81a18ea3a01191162443a560f299f45d,"View of the Allegheny River from the Bessemer Building",,"Frederick Theodore Wagner","View of the Allegheny River from the Bessemer Building in downtown Pittsburgh with the North Side in the background. The Bessemer Building, similar in design to the Fulton Building on the Sixth Street…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/81a18ea3a01191162443a560f299f45d,http://historicpittsburgh.org/islandora/object/pitt%3AMSP388.B008.I06
843d2ea346854bf49a41b2921555517b,"Steamboats and coal barges in the Monongahela River",,,"A view of the steamboats Pacific #2 and Jim Wood in the foreground with other boats visible in the background. The boats are situated in the Monongahela River, close to Pittsburgh's Point.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/843d2ea346854bf49a41b2921555517b,http://historicpittsburgh.org/islandora/object/pitt%3A20180205-hpichswp-0002
866ab706c1da59b41520547ec3c3a80b,"H.J. Heinz Company Main Plant from Armstrong Cork",,,"The H.J. Heinz Company main plant with Herr’s Dam (foreground) from across the Allegheny River in Pittsburgh’s Strip District neighborhood. H.J. Heinz Company was founded in 1869 by Henry John Heinz (…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/866ab706c1da59b41520547ec3c3a80b,http://historicpittsburgh.org/islandora/object/pitt%3AMSP57.B017.I04
89be0236ecf5556f72ed7c290f14ffcd,"Ninth Street Bridge",,"United States. Army. Corps of Engineers. Pittsburgh District","A view of the Ninth Street Bridge of Pittsburgh, looking upstream.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/89be0236ecf5556f72ed7c290f14ffcd,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0039
962836396fd165f66ac226d5938280ba,"Crucible Steel Company Park Works (3)",,"United States. Army. Corps of Engineers. Pittsburgh District","The Crucible Steel Company's Park Works, located along the Allegheny River in Pittsburgh's Strip District neighborhood. The 33rd St. railroad bridge and the Lee H. Brooks steamboat are in the distance…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/962836396fd165f66ac226d5938280ba,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0179
9950a3c06209e44ce7a3ee21c6a22bef,"Crucible Steel Company Park Works",,"United States. Army. Corps of Engineers. Pittsburgh District","The Crucible Steel Company's Park Work furnace, located along the Allegheny River.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/9950a3c06209e44ce7a3ee21c6a22bef,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0013
9af77b6254013c3ce911b65220eeed1e,"Eliza Furnace Department",,,"Caption on the back of the photograph reads, “Eliza Furnace Dept. Pix shows #1 and #2. #2 has old type top rigging. Flue dust behind stoves coming from old Boiler House #1 stack during slip in #2 furn…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/9af77b6254013c3ce911b65220eeed1e,http://historicpittsburgh.org/islandora/object/pitt%3AMSP33.B004.F06.I02
9dd8d28dfcfe5be02f8a21e08f4691f5,"Manchester Bridge Construction",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the Manchester Bridge, also known as the North Side Point Bridge, during its construction. The Manchester Bridge was completed in 1915 and was operational until its demolition in 1969. The…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/9dd8d28dfcfe5be02f8a21e08f4691f5,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0126
a5ad14fb010c6a75884212cdbcbb8c12,"The Point",,,"The Golden Triangle and the Point as seen from Pittsburgh’s Mount Washington neighborhood. The bridge in the foreground spanning the Monongahela River is the first Point Bridge (1876-1927). The bridge…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/a5ad14fb010c6a75884212cdbcbb8c12,http://historicpittsburgh.org/islandora/object/pitt%3AMSP285.B012.F06.I02
b10a84d8bd36a1e53e9395f8a61d9240,"Monongahela & Ohio and Ranger steamboats",,,"A view of Monongahela & Ohio, Ranger, and Central steamboats in a river near a bridge. The crane used by the E.M. Witchel Company can be at the river's edge. A pile of steel beams can be seen on the o…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/b10a84d8bd36a1e53e9395f8a61d9240,http://historicpittsburgh.org/islandora/object/pitt%3A20180205-hpichswp-0030
bffd2a2f78c7b448678f865e1d1796ec,"Carnegie Steel Company Boat",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of an event on a Carnegie Steel Company boat in the Monongahela River near the Pennsylvania & Lake Erie Railroad Station (P.&L.E.R.R.). The ship Sonoma and an Eichleay Marine Department build…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/bffd2a2f78c7b448678f865e1d1796ec,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0291
ca8035458d64ce7508035ec231446ed1,"A. M. Chalfant Company Plant",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the A. M. Chalfant Company plant alongside the Allegheny River near Etna, Pa. The A. M. Chalfant combined with the Spang Company to become the Spang & Chalfant Company, a pipe and oil-fiel…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/ca8035458d64ce7508035ec231446ed1,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0200
d669b03ab3c9faab83d062aedbd9ee9a,"Steamboat Alice in Allegheny River Lock 2",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of the steamboat Alice using Lock 2 of the Allegheny River's lock and dams system. Lock and Dam 2 was located near Aspinwall, Pa.","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/d669b03ab3c9faab83d062aedbd9ee9a,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0096
e7d39ce23cd473f3f9ad8050c2c05552,"Monongahela River Locks and Dam 1",,"United States. Army. Corps of Engineers. Pittsburgh District","An image of Monongahela River Locks and Dam 1, with a view of the South Side neighborhood in the distance. Buildings for the Keystone Lumber and A.B. Breitwiester Lumber Companies can be seen. Locks a…","Detre Library and Archives, Heinz History Center",https://dp.la/thumb/e7d39ce23cd473f3f9ad8050c2c05552,http://historicpittsburgh.org/islandora/object/pitt%3A20180220-hpichswp-0020
